competitor_id,name,country,country_code,abbreviation,raw_json
sr:competitor:16854,"Molchanov, Denys",Ukraine,UKR,MOL,"{""id"": ""sr:competitor:16854"", ""name"": ""Molchanov, Denys"", ""country"": ""Ukraine"", ""country_code"": ""UKR"", ""abbreviation"": ""MOL""}"
sr:competitor:380004,"Harper, Patrick",Australia,AUS,HAR,"{""id"": ""sr:competitor:380004"", ""name"": ""Harper, Patrick"", ""country"": ""Australia"", ""country_code"": ""AUS"", ""abbreviation"": ""HAR""}"
sr:competitor:77011,"Martos Gornes, Sergio",Spain,ESP,MAR,"{""id"": ""sr:competitor:77011"", ""name"": ""Martos Gornes, Sergio"", ""country"": ""Spain"", ""country_code"": ""ESP"", ""abbreviation"": ""MAR""}"
sr:competitor:146040,"Gomez, Federico Agustin",Argentina,ARG,GOM,"{""id"": ""sr:competitor:146040"", ""name"": ""Gomez, Federico Agustin"", ""country"": ""Argentina"", ""country_code"": ""ARG"", ""abbreviation"": ""GOM""}"
sr:competitor:77653,"Cornea, Victor Vlad",Romania,ROU,COR,"{""id"": ""sr:competitor:77653"", ""name"": ""Cornea, Victor Vlad"", ""country"": ""Romania"", ""country_code"": ""ROU"", ""abbreviation"": ""COR""}"
sr:competitor:390480,"Watanabe, Seita",Japan,JPN,WAT,"{""id"": ""sr:competitor:390480"", ""name"": ""Watanabe, Seita"", ""country"": ""Japan"", ""country_code"": ""JPN"", ""abbreviation"": ""WAT""}"
sr:competitor:614090,"Pieczonka, Filip",Poland,POL,PIE,"{""id"": ""sr:competitor:614090"", ""name"": ""Pieczonka, Filip"", ""country"": ""Poland"", ""country_code"": ""POL"", ""abbreviation"": ""PIE""}"
sr:competitor:99377,"Kestelboim, Mariano",Argentina,ARG,KES,"{""id"": ""sr:competitor:99377"", ""name"": ""Kestelboim, Mariano"", ""country"": ""Argentina"", ""country_code"": ""ARG"", ""abbreviation"": ""KES""}"
sr:competitor:37637,"Zeballos, Federico",Bolivia,BOL,ZEB,"{""id"": ""sr:competitor:37637"", ""name"": ""Zeballos, Federico"", ""country"": ""Bolivia"", ""country_code"": ""BOL"", ""abbreviation"": ""ZEB""}"
sr:competitor:731833,"Kielan, Szymon",Poland,POL,KIE,"{""id"": ""sr:competitor:731833"", ""name"": ""Kielan, Szymon"", ""country"": ""Poland"", ""country_code"": ""POL"", ""abbreviation"": ""KIE""}"
sr:competitor:163538,"Donski, Alexander",Bulgaria,BGR,DON,"{""id"": ""sr:competitor:163538"", ""name"": ""Donski, Alexander"", ""country"": ""Bulgaria"", ""country_code"": ""BGR"", ""abbreviation"": ""DON""}"
sr:competitor:124708,"Cukierman, Daniel",Israel,ISR,CUK,"{""id"": ""sr:competitor:124708"", ""name"": ""Cukierman, Daniel"", ""country"": ""Israel"", ""country_code"": ""ISR"", ""abbreviation"": ""CUK""}"
sr:competitor:113889,"Liutarevich, Ivan",Neutral,,LIU,"{""id"": ""sr:competitor:113889"", ""name"": ""Liutarevich, Ivan"", ""country"": ""Neutral"", ""abbreviation"": ""LIU""}"
sr:competitor:339377,"Lehecka, Jiri",Czechia,CZE,LEH,"{""id"": ""sr:competitor:339377"", ""name"": ""Lehecka, Jiri"", ""country"": ""Czechia"", ""country_code"": ""CZE"", ""abbreviation"": ""LEH""}"
sr:competitor:122368,"Griekspoor, Tallon",Netherlands,NLD,GRI,"{""id"": ""sr:competitor:122368"", ""name"": ""Griekspoor, Tallon"", ""country"": ""Netherlands"", ""country_code"": ""NLD"", ""abbreviation"": ""GRI""}"
sr:competitor:296270,"Stevenson, David",Great Britain,GBR,STE,"{""id"": ""sr:competitor:296270"", ""name"": ""Stevenson, David"", ""country"": ""Great Britain"", ""country_code"": ""GBR"", ""abbreviation"": ""STE""}"
sr:competitor:58877,"Ramanathan, Ramkumar",India,IND,RAM,"{""id"": ""sr:competitor:58877"", ""name"": ""Ramanathan, Ramkumar"", ""country"": ""India"", ""country_code"": ""IND"", ""abbreviation"": ""RAM""}"
sr:competitor:128552,"Popyrin, Alexei",Australia,AUS,POP,"{""id"": ""sr:competitor:128552"", ""name"": ""Popyrin, Alexei"", ""country"": ""Australia"", ""country_code"": ""AUS"", ""abbreviation"": ""POP""}"
sr:competitor:73572,"Zormann, Marcelo",Brazil,BRA,ZOR,"{""id"": ""sr:competitor:73572"", ""name"": ""Zormann, Marcelo"", ""country"": ""Brazil"", ""country_code"": ""BRA"", ""abbreviation"": ""ZOR""}"
sr:competitor:55745,"Negritu, Christoph",Germany,DEU,NEG,"{""id"": ""sr:competitor:55745"", ""name"": ""Negritu, Christoph"", ""country"": ""Germany"", ""country_code"": ""DEU"", ""abbreviation"": ""NEG""}"
sr:competitor:305776,"Soto, Matias",Chile,CHL,SOT,"{""id"": ""sr:competitor:305776"", ""name"": ""Soto, Matias"", ""country"": ""Chile"", ""country_code"": ""CHL"", ""abbreviation"": ""SOT""}"
sr:competitor:628218,"Karol, Milos",Slovakia,SVK,KAR,"{""id"": ""sr:competitor:628218"", ""name"": ""Karol, Milos"", ""country"": ""Slovakia"", ""country_code"": ""SVK"", ""abbreviation"": ""KAR""}"
sr:competitor:322589,"Pujol Navarro, Bruno",Spain,ESP,PUJ,"{""id"": ""sr:competitor:322589"", ""name"": ""Pujol Navarro, Bruno"", ""country"": ""Spain"", ""country_code"": ""ESP"", ""abbreviation"": ""PUJ""}"
sr:competitor:141882,"Blancaneaux, Geoffrey",France,FRA,BLA,"{""id"": ""sr:competitor:141882"", ""name"": ""Blancaneaux, Geoffrey"", ""country"": ""France"", ""country_code"": ""FRA"", ""abbreviation"": ""BLA""}"
sr:competitor:111607,"Ingildsen, Johannes",Denmark,DNK,ING,"{""id"": ""sr:competitor:111607"", ""name"": ""Ingildsen, Johannes"", ""country"": ""Denmark"", ""country_code"": ""DNK"", ""abbreviation"": ""ING""}"
sr:competitor:310972,"Banthia, Siddhant",India,IND,BAN,"{""id"": ""sr:competitor:310972"", ""name"": ""Banthia, Siddhant"", ""country"": ""India"", ""country_code"": ""IND"", ""abbreviation"": ""BAN""}"
sr:competitor:90080,"Khachanov, Karen",Neutral,,KHA,"{""id"": ""sr:competitor:90080"", ""name"": ""Khachanov, Karen"", ""country"": ""Neutral"", ""abbreviation"": ""KHA""}"
sr:competitor:90110,"Serdarusic, Nino",Croatia,HRV,SER,"{""id"": ""sr:competitor:90110"", ""name"": ""Serdarusic, Nino"", ""country"": ""Croatia"", ""country_code"": ""HRV"", ""abbreviation"": ""SER""}"
sr:competitor:84671,"Britto, Luis",Brazil,BRA,BRI,"{""id"": ""sr:competitor:84671"", ""name"": ""Britto, Luis"", ""country"": ""Brazil"", ""country_code"": ""BRA"", ""abbreviation"": ""BRI""}"
sr:competitor:112061,"Walkow, Szymon",Poland,POL,WAL,"{""id"": ""sr:competitor:112061"", ""name"": ""Walkow, Szymon"", ""country"": ""Poland"", ""country_code"": ""POL"", ""abbreviation"": ""WAL""}"
sr:competitor:113221,"Niklas-Salminen, Patrik",Finland,FIN,NIK,"{""id"": ""sr:competitor:113221"", ""name"": ""Niklas-Salminen, Patrik"", ""country"": ""Finland"", ""country_code"": ""FIN"", ""abbreviation"": ""NIK""}"
sr:competitor:723013,"Pokorny, Lukas",Slovakia,SVK,POK,"{""id"": ""sr:competitor:723013"", ""name"": ""Pokorny, Lukas"", ""country"": ""Slovakia"", ""country_code"": ""SVK"", ""abbreviation"": ""POK""}"
sr:competitor:220588,"Hsu, Yu Hsiou",Chinese Taipei,TPE,HSU,"{""id"": ""sr:competitor:220588"", ""name"": ""Hsu, Yu Hsiou"", ""country"": ""Chinese Taipei"", ""country_code"": ""TPE"", ""abbreviation"": ""HSU""}"
sr:competitor:145008,"Uesugi, Kaito",Japan,JPN,UES,"{""id"": ""sr:competitor:145008"", ""name"": ""Uesugi, Kaito"", ""country"": ""Japan"", ""country_code"": ""JPN"", ""abbreviation"": ""UES""}"
sr:competitor:98981,"Jecan, Alexandru",Romania,ROU,JEC,"{""id"": ""sr:competitor:98981"", ""name"": ""Jecan, Alexandru"", ""country"": ""Romania"", ""country_code"": ""ROU"", ""abbreviation"": ""JEC""}"
sr:competitor:145936,"Kaliyanda Poonacha, Niki",India,IND,KAL,"{""id"": ""sr:competitor:145936"", ""name"": ""Kaliyanda Poonacha, Niki"", ""country"": ""India"", ""country_code"": ""IND"", ""abbreviation"": ""KAL""}"
sr:competitor:94485,"Bonzi, Benjamin",France,FRA,BON,"{""id"": ""sr:competitor:94485"", ""name"": ""Bonzi, Benjamin"", ""country"": ""France"", ""country_code"": ""FRA"", ""abbreviation"": ""BON""}"
sr:competitor:100069,"Sachko, Vitaliy",Ukraine,UKR,SAC,"{""id"": ""sr:competitor:100069"", ""name"": ""Sachko, Vitaliy"", ""country"": ""Ukraine"", ""country_code"": ""UKR"", ""abbreviation"": ""SAC""}"
sr:competitor:42151,"Nam, Ji Sung",Republic of Korea,KOR,NAM,"{""id"": ""sr:competitor:42151"", ""name"": ""Nam, Ji Sung"", ""country"": ""Republic of Korea"", ""country_code"": ""KOR"", ""abbreviation"": ""NAM""}"
sr:competitor:180104,"Reymond, Arthur",France,FRA,REY,"{""id"": ""sr:competitor:180104"", ""name"": ""Reymond, Arthur"", ""country"": ""France"", ""country_code"": ""FRA"", ""abbreviation"": ""REY""}"
sr:competitor:72420,"Merino, Alexander",Peru,PER,MER,"{""id"": ""sr:competitor:72420"", ""name"": ""Merino, Alexander"", ""country"": ""Peru"", ""country_code"": ""PER"", ""abbreviation"": ""MER""}"
sr:competitor:233144,"Duda, Filip",Czechia,CZE,DUD,"{""id"": ""sr:competitor:233144"", ""name"": ""Duda, Filip"", ""country"": ""Czechia"", ""country_code"": ""CZE"", ""abbreviation"": ""DUD""}"
sr:competitor:263917,"Draxl, Liam",Canada,CAN,DRA,"{""id"": ""sr:competitor:263917"", ""name"": ""Draxl, Liam"", ""country"": ""Canada"", ""country_code"": ""CAN"", ""abbreviation"": ""DRA""}"
sr:competitor:272245,"Latinovic, Stefan",Serbia,SRB,LAT,"{""id"": ""sr:competitor:272245"", ""name"": ""Latinovic, Stefan"", ""country"": ""Serbia"", ""country_code"": ""SRB"", ""abbreviation"": ""LAT""}"
sr:competitor:59700,"Isaro, Pruchya",Thailand,THA,ISA,"{""id"": ""sr:competitor:59700"", ""name"": ""Isaro, Pruchya"", ""country"": ""Thailand"", ""country_code"": ""THA"", ""abbreviation"": ""ISA""}"
sr:competitor:52260,"Vega, David",Spain,ESP,VEG,"{""id"": ""sr:competitor:52260"", ""name"": ""Vega, David"", ""country"": ""Spain"", ""country_code"": ""ESP"", ""abbreviation"": ""VEG""}"
sr:competitor:396126,"Barnat, Jiri",Czechia,CZE,BAR,"{""id"": ""sr:competitor:396126"", ""name"": ""Barnat, Jiri"", ""country"": ""Czechia"", ""country_code"": ""CZE"", ""abbreviation"": ""BAR""}"
sr:competitor:163540,"Hermans, Mats",Netherlands,NLD,HER,"{""id"": ""sr:competitor:163540"", ""name"": ""Hermans, Mats"", ""country"": ""Netherlands"", ""country_code"": ""NLD"", ""abbreviation"": ""HER""}"
sr:competitor:161220,"Pavel, Bogdan",Romania,ROU,PAV,"{""id"": ""sr:competitor:161220"", ""name"": ""Pavel, Bogdan"", ""country"": ""Romania"", ""country_code"": ""ROU"", ""abbreviation"": ""PAV""}"
sr:competitor:210736,"Lammons, Nathaniel",USA,USA,LAM,"{""id"": ""sr:competitor:210736"", ""name"": ""Lammons, Nathaniel"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""LAM""}"
sr:competitor:405969,"Paulson, Andrew",Czechia,CZE,PAU,"{""id"": ""sr:competitor:405969"", ""name"": ""Paulson, Andrew"", ""country"": ""Czechia"", ""country_code"": ""CZE"", ""abbreviation"": ""PAU""}"
sr:competitor:132558,"Kolar, Zdenek",Czechia,CZE,KOL,"{""id"": ""sr:competitor:132558"", ""name"": ""Kolar, Zdenek"", ""country"": ""Czechia"", ""country_code"": ""CZE"", ""abbreviation"": ""KOL""}"
sr:competitor:58989,"Sabanov, Matej",Serbia,SRB,SAB,"{""id"": ""sr:competitor:58989"", ""name"": ""Sabanov, Matej"", ""country"": ""Serbia"", ""country_code"": ""SRB"", ""abbreviation"": ""SAB""}"
